"x1","x2","dens"
140,40,10.4475482124931
142,40,10.6788851713411
144,40,10.9877732431596
146,40,11.3785503564248
148,40,11.8454082434502
150,40,12.3695546221405
152,40,12.9184041979013
154,40,13.4476931766679
156,40,13.9067554825679
158,40,14.2462768486994
160,40,14.4269522494947
162,40,14.4269623304423
164,40,14.2463058655881
166,40,13.9068000023075
168,40,13.4477482259455
170,40,12.9184641735407
172,40,12.3696142155717
174,40,11.8454631723219
176,40,11.3785977762015
178,40,10.9878118146041
180,40,10.6789148492591
182,40,10.4475698720938
184,40,10.2830158918645
186,40,10.1716584699562
188,40,10.0998674780809
190,40,10.0557297832434
192,40,10.0298301229722
194,40,10.0153153577315
196,40,10.0075422973726
198,40,10.0035627434812
200,40,10.0016142464688
202,40,10.0007015514324
204,40,10.0002924513006
206,40,10.0001169370034
208,40,10.0000448492016
210,40,10.0000164991593
140,42,10.5991171444485
142,42,10.916405561358
144,42,11.3445227708429
146,42,11.892139230143
148,42,12.554127107457
150,42,13.3070169114853
152,42,14.1070957115876
154,42,14.8925777417043
156,42,15.5904292423984
158,42,16.1271298987631
160,42,16.4413001611548
162,42,16.495229608225
164,42,16.282319256594
166,42,15.8284090507168
168,42,15.1866217107229
170,42,14.4271440472088
172,42,13.6246598919314
174,42,12.846527610726
176,42,12.1442137016639
178,42,11.5492633882013
180,42,11.0737099307108
182,42,10.7137616304457
184,42,10.4551179198338
186,42,10.2783550955362
188,42,10.1632972644304
190,42,10.0918889156403
192,42,10.0495965897866
194,42,10.0256770404265
196,42,10.012750950503
198,42,10.0060735776203
200,42,10.0027749235825
202,42,10.0012160792214
204,42,10.0005111838082
206,42,10.0002061088655
208,42,10.0000797114299
210,42,10.0000295698316
140,44,10.7692896430128
142,44,11.1865487592443
144,44,11.7554393956564
146,44,12.4910970643701
148,44,13.3907832489391
150,44,14.4270455384077
152,44,15.544118987802
154,44,16.6597158586528
156,44,17.6733228874469
158,44,18.4803909386911
160,44,18.9898596280198
162,44,19.1410186460776
164,44,18.9154021008799
166,44,18.3404971920657
168,44,17.4842384721227
170,44,16.4418108861952
172,44,15.3183021392272
174,44,14.2115574206721
